
Sample ID : D02

Measuring Baseline...
1/30   MQ3=289   MQ135=47
2/30   MQ3=302   MQ135=32
3/30   MQ3=310   MQ135=46
4/30   MQ3=309   MQ135=48
5/30   MQ3=292   MQ135=43
6/30   MQ3=302   MQ135=48
7/30   MQ3=294   MQ135=43
8/30   MQ3=290   MQ135=33
9/30   MQ3=294   MQ135=41
10/30   MQ3=305   MQ135=48
11/30   MQ3=302   MQ135=35
12/30   MQ3=287   MQ135=48
13/30   MQ3=304   MQ135=42
14/30   MQ3=298   MQ135=34
15/30   MQ3=304   MQ135=36
16/30   MQ3=304   MQ135=41
17/30   MQ3=294   MQ135=57
18/30   MQ3=307   MQ135=48
19/30   MQ3=294   MQ135=32
20/30   MQ3=298   MQ135=48
21/30   MQ3=294   MQ135=44
22/30   MQ3=294   MQ135=48
23/30   MQ3=299   MQ135=38
24/30   MQ3=304   MQ135=33
25/30   MQ3=293   MQ135=48
26/30   MQ3=300   MQ135=31
27/30   MQ3=306   MQ135=33
28/30   MQ3=308   MQ135=39
29/30   MQ3=309   MQ135=48
30/30   MQ3=312   MQ135=49

Baseline MQ3 = 299
Baseline MQ135 = 42

INSERT LEAF NOW
Close Box
Waiting 15 minutes...

Time,Sample,Label,Baseline_MQ3,Baseline_MQ135,MQ3,MQ135
0,D02,Diseased,299,42,491,67
1,D02,Diseased,299,42,489,67
2,D02,Diseased,299,42,490,70
3,D02,Diseased,299,42,485,75
4,D02,Diseased,299,42,478,69
5,D02,Diseased,299,42,499,64
6,D02,Diseased,299,42,478,79
7,D02,Diseased,299,42,496,64
8,D02,Diseased,299,42,501,65
9,D02,Diseased,299,42,482,64
10,D02,Diseased,299,42,482,61
11,D02,Diseased,299,42,479,74
12,D02,Diseased,299,42,493,64
13,D02,Diseased,299,42,489,78
14,D02,Diseased,299,42,488,66
15,D02,Diseased,299,42,474,78
16,D02,Diseased,299,42,484,69
17,D02,Diseased,299,42,487,61
18,D02,Diseased,299,42,496,65
19,D02,Diseased,299,42,485,78
20,D02,Diseased,299,42,487,73
21,D02,Diseased,299,42,480,74
22,D02,Diseased,299,42,478,65
23,D02,Diseased,299,42,483,75
24,D02,Diseased,299,42,493,80
25,D02,Diseased,299,42,493,75
26,D02,Diseased,299,42,494,78
27,D02,Diseased,299,42,494,70
28,D02,Diseased,299,42,496,64
29,D02,Diseased,299,42,500,70
30,D02,Diseased,299,42,481,71
31,D02,Diseased,299,42,484,62
32,D02,Diseased,299,42,487,62
33,D02,Diseased,299,42,496,64
34,D02,Diseased,299,42,495,58
35,D02,Diseased,299,42,483,72
36,D02,Diseased,299,42,480,64
37,D02,Diseased,299,42,494,67
38,D02,Diseased,299,42,495,80
39,D02,Diseased,299,42,491,63
40,D02,Diseased,299,42,496,59
41,D02,Diseased,299,42,496,69
42,D02,Diseased,299,42,491,66
43,D02,Diseased,299,42,484,65
44,D02,Diseased,299,42,501,84
45,D02,Diseased,299,42,480,74
46,D02,Diseased,299,42,486,78
47,D02,Diseased,299,42,481,77
48,D02,Diseased,299,42,499,73
49,D02,Diseased,299,42,482,65
50,D02,Diseased,299,42,499,63
51,D02,Diseased,299,42,495,79
52,D02,Diseased,299,42,492,69
53,D02,Diseased,299,42,485,70
54,D02,Diseased,299,42,493,63
55,D02,Diseased,299,42,480,79
56,D02,Diseased,299,42,498,70
57,D02,Diseased,299,42,496,59
58,D02,Diseased,299,42,492,64
59,D02,Diseased,299,42,485,78

====================================
DATA COLLECTION COMPLETED
====================================

Remove Leaf
Ventilate Box

Enter Next Sample ID
